title,price,link,description,description_pp
Nikon D800 +Sigma 28mm 1.8 objektiv,0,/s-anzeige/nikon-d800-sigma-28mm-1-8-objektiv/2939021492-245-18350,Nikon D800 +Sigma 28mm 1.8 objektiv  Zu verkaufen steht ein vollformart Spiegelreflexkamera von Nikon D800 Und ein objektiv von Sigma 28mm 1.8 f das objektiv ist neuwertig Die Kamera hat 31980 Auslöser Dazu kommt noch zwei Akkus plus natürlich Lage Gerät Versand kein Problem,nikon d800 + sigma 28 mm 1.8 objektiv verkaufen stehen vollformart spiegelreflexkamera nikon d800 objektiv sigma 28 mm 1.8 f objektiv neuwertig kamera 31980 auslöser akkus plus lage gerät versand problem
Nikon D3500 mit Tasche in VR Objektiv,0,/s-anzeige/nikon-d3500-mit-tasche-in-vr-objektiv/2939112998-245-275,"Nikon D3500 mit Tasche in VR Objektiv  Hallo, ich verkaufe durch Hobbyaufgabe meine schöne Kamera. Ich habe sie nicht oft genutzt. Sie macht super Fotos und funktioniert tadellos. Keine Kratzer oder Risse!Mit bei ist eine Tasche, VR Objekt, sowie auf den Fotos zusehen.Keine Speicherkarte!Privatkauf keine Garantie und Gewährleistung.",nikon d3500 tasche vr objektiv hallo verkauf hobbyaufgabe schön kamera nutzen sup foto funktionieren tadellos kratzer riß tasche vr objekt foto zusehen speicherkart privatkauf garantie gewährleistung
Nikon MS-D14 Batteriehalter,15,/s-anzeige/nikon-ms-d14-batteriehalter/2939370058-245-952,Nikon MS-D14 Batteriehalter  Batterie Halter Nikon MS D14. Wie neu. Neupreis 34 Euro,nikon ms d14 batteriehalter batterie halter nikon ms d14 neu neupreis 34 euro
Really Right Stuff Schnellwechselplatte für Nikon D7100,49,/s-anzeige/really-right-stuff-schnellwechselplatte-fuer-nikon-d7100/2939411349-245-1973,"Really Right Stuff Schnellwechselplatte für Nikon D7100  Biete hier eine Arca Swiss kompatible Schnellwechselplatte passend für die Nikon D7100 an. Neupreis liegt bei 68€.Privatverkauf, daher keine Gewährleistung oder Rücknahme. Bitte nur ernst gemeinte Anfragen. Versand gegen Übernahme Porto möglich, alternativ Abholung in Krefeld.",really right stuff schnellwechselplatte nikon d7100 biete arca swiss kompatibel schnellwechselplatte passend nikon d7100 neupreis liegen 68€ privatverkauf gewährleistung rücknahme bitte ernst gemeint anfrage versand übernahme porto alternativ abholung krefeld
Really Right Stuff Schnellwechselplatte für Nikon D750,55,/s-anzeige/really-right-stuff-schnellwechselplatte-fuer-nikon-d750/2939414557-245-1973,"Really Right Stuff Schnellwechselplatte für Nikon D750  Ich biete hier eine Arcaswiss kompatible Schnellwechselplatte passend zur Nikon D750 an. Neupreis lag bei 75€.Privatverkauf, daher keine Gewährleistung oder Rücknahme. Bitte nur ernst gemeinte Anfragen. Versand gegen Übernahme Porto möglich, alternativ Abholung in Krefeld.",really right stuff schnellwechselplatte nikon d750 biet arcaswiss kompatibel schnellwechselplatte passend nikon d750 neupreis liegen 75€ privatverkauf gewährleistung rücknahme bitte ernst gemeint anfrage versand übernahme porto alternativ abholung krefeld
Nikon MB-D11 Batteriegriff,60,/s-anzeige/nikon-mb-d11-batteriegriff/2939455839-245-1920,"Nikon MB-D11 Batteriegriff  Ich verkaufe hier einen Nikon MB D11 Batteriegriff, passend für z.B. die D7000 DSLR. Der Griff ist in einem guten Zustand mit vorhanden Gebrauchsspuren. Er funktioniert einwandfrei und mit ihm liegt die Kamera immer perfekt und sicher in der Hand.Im Angebot enthalten ist:Original Nikon MB D11 Batteriegriff2x Einschub (1x für Akku/1x für AA Batterien)Tasche für EinschubAnleitungOVP (MB D14)Bei Interesse gerne Melden. Abholung/Versand möglich Paypal vorhandenDer Verkauf erfolgt unter Ausschluss jeglicher Sachmängelhaftung und Rücknahme, da Privatverkauf.In meinen anderen Anzeigen verkaufe ich meine restliche Kameraausrüstung, da ich aus Zeitgründen schon länger nicht mehr Fotografiere.",nikon mb d11 batteriegriff verkaufen nikon mb d11 batteriegriff passend z b d7000 dslr griff gut zustand vorhanden gebrauchsspurum funktionieren einwandfrei liegen kamera perfekt sicher hand angebot enthalt original nikon mb d11 batteriegriff2x einschub 1x akku 1x aa batterie tasche einschubanleitungovp mb d14)bei interesse gerne melden abholung versand paypal vorhandender verkauf erfolgen ausschluss jeglicher sachmängelhaftung rücknahme privatverkauf anzeige verkauf restlich kameraausrüstung zeitgründen lang fotografier
Nikon D3100 Kamera Spiegelreflexkamera digital objektiv,60,/s-anzeige/nikon-d3100-kamera-spiegelreflexkamera-digital-objektiv/2939434430-245-2545,"Nikon D3100 Kamera Spiegelreflexkamera digital objektiv  Die Kamera von Nikon „D3100“ hat mir schon viele gute Dienste geleistet und befindet sich in einem sehr gepflegten Zustand. Der Akku ist funktionstüchtig. Das Ladegerät werde ich mitschicken.Außerdem ist ein Objektiv dabei: AF S NIKKOR 18 55 mm Dieses hat leider einen Defekt: es wackelt vorne und scheint dadurch in der Funktion eingeschränkt. Ich verschicke es trotzdem gerne mit, vielleicht hat jemand die Fähigkeiten, es leicht zu reparieren!Die Tasche gehört ebenfalls zur Anzeige und wird mitgekauft.Ausserm hat das objektiv vorn einen „UV Schutz“, der bei Sonnenlicht sehr hilfreich ist.Bei Fragen gerne melden.",nikon d3100 kamera spiegelreflexkamera digital objektiv kamera nikon d3100 dienst leisten befinden gepflegt zustand akku funktionstüchtig ladegerät mitschicken objektiv af s nikkor 18 55 mm defekt wackeln vorne scheinen funktion einschränken verschicken gerne fähigkeit reparier tasche gehören ebenfalls anzeige mitgekaufen ausserm objektiv vorn uv schutz sonnenlicht hilfreich frage gerne melden
Spiegelreflex Nikon D3000,70,/s-anzeige/spiegelreflex-nikon-d3000/2939399589-245-7626,"Spiegelreflex Nikon D3000  Verkaufe diese Kamera (nur Body), incl. Ersatzakku, Ladegerät, Anschlusskabel für PC, Kameratasche und Umhängegurt für Kamera. Die Kamera hat 20.660 Auslösungen und funktioniert einwandfrei.",spiegelreflex nikon d3000 verkaufe kamera body incl ersatzakku ladegerät anschlusskabel pc kameratasche umhängegurt kamera kamera 20.660 auslösung funktionieren einwandfrei
MIT GARANTIE. Nikon AF Nikkor 35-80mm F/4-5.6 D Objektiv,89,/s-anzeige/mit-garantie-nikon-af-nikkor-35-80mm-f-4-5-6-d-objektiv/2910738599-245-17448,"MIT GARANTIE. Nikon AF Nikkor 35-80mm F/4-5.6 D Objektiv  Nikon AF Nikkor 35 80mm F/4 5.6 D (sehr gut)Mit 12 monatiger kameraclub.de GARANTIE. (Mehr zu unserer Garantie unter www.kameraclub.de/garantie)Zustand: gebraucht sehr gut: Technisch einwandfrei, optisch sehr gut.Der Preis ist ein FESTPREIS und daher leider nicht verhandelbar. MwSt. nach Paragraph §25a des UStG. nicht ausweisbar.LIEFERUMFANG: Nikon AF Nikkor 35 80mm F/4 5.6 D (sehr gut) Frontdeckel RückdeckelLieferung in neutraler Verpackung.Den Artikel können Sie direkt in unserem Online Shop kaufen. Nutzen Sie dazu gern folgenden Link: https://www.kameraclub.de/Nikon AF Nikkor 35 80mm F4 56 D NI20642 B10968",garantie nikon af nikkor 35 80 mm f 4 5.6 d objektiv nikon af nikkor 35 80 mm f 4 5.6 d 12 monatig kameraclub de garantie garantie www kameraclub de/garantie)zustand gebrauchen technisch einwandfrei optisch preis festpreis verhandelbar mwst paragraph 25a ustg ausweisbar lieferumfang nikon af nikkor 35 80 mm f 4 5.6 d frontdeckel rückdeckellieferung neutral verpackung artikel direkt unser online shop kaufen nutzen folgend link https://www kameraclub de/nikon af nikkor 35 80 mm f4 56 d ni20642 b10968
Nikon D60 Kamera super Zustand Nikon Objektiv 18-55 mm,95,/s-anzeige/nikon-d60-kamera-super-zustand-nikon-objektiv-18-55-mm/2939141486-245-4813,"Nikon D60 Kamera super Zustand Nikon Objektiv 18-55 mm  Nikon D60 Kamera sehr guter Zustand voll funktionsfähig, gerade noch mal gecheckt inkl. Fototasche und Anleitung Abholung in Kelkheim Taunus Versand nach Vereinbarung möglich tierfreier Nichtraucherhaushalt Privatverkauf: keine Garantie, Gewährleistung oder Rücknahme",nikon d60 kamera sup zustand nikon objektiv 18 55 mm nikon d60 kamera zustand voll funktionsfähig mal checken inkl fototasche anleitung abholung kelkheim taunus versand vereinbarung tierfrei nichtraucherhaushalt privatverkauf garantie gewährleistung rücknahme
Nikon D5100 mit Hülle wie neu,100,/s-anzeige/nikon-d5100-mit-huelle-wie-neu/2939252987-245-27740,Nikon D5100 mit Hülle wie neu  Nikon D5100 mit Hülle wie neu Pay pal vorhanden Wunschversand Wunschversand möglich,nikon d5100 hülle neu nikon d5100 hülle neu pay pal vorhanden wunschversand wunschversand
Nikon D90 Body  12917 Auslösungen,100,/s-anzeige/nikon-d90-body-12917-ausloesungen/2939277743-245-7682,"Nikon D90 Body  12917 Auslösungen  Ich verkaufe einen Body Nikon D90 mit nur 12917 Auslösungen.Mit dabei ist natürlich der Frontdeckel, das Ladegerät und vier Akkus.Bei Bedarf an Objektiven bitte auch in meine anderen Anzeigen gucken, ich verkaufe gerade alles was ich an Nikon DX habe.",nikon d90 body 12917 auslösung verkauf body nikon d90 12917 auslösung frontdeckel ladegerät akkus bedarf objektive bitte anzeige gucken verkaufen nikon dx
Nikon D50+Objektiv Sigma 55-200mm,100,/s-anzeige/nikon-d50-objektiv-sigma-55-200mm/2939076264-245-16286,"Nikon D50+Objektiv Sigma 55-200mm  Verkaufe Nikon D50 mit Objektiv Sigma 55 200mm. Zubehör: Tasche Speicherkarte SanDisk 1GB Akku mit LadegerätNur Abholung,keine Lieferung.",nikon d50+objektiv sigma 55 200 mm verkaufe nikon d50 objektiv sigma 55 200 mm zubehör tasche speicherkart sandisk 1 gb akku ladegerätnur abholung lieferung
Nikon D 80,108,/s-anzeige/nikon-d-80/2939208215-245-6860,Nikon D 80  In sehr gutem Zustand. Voll funktionsfähig. Ich werde es verkaufen oder gegen Samsung Galaxy S Note tauschen.,nikon d 80 gut zustand voll funktionsfähig verkaufen samsung galaxy s note tauschen
Spigelreflexkamera Nikon D3100 inkl. Zubehör,110,/s-anzeige/spigelreflexkamera-nikon-d3100-inkl-zubehoer/2939099881-245-989,Spigelreflexkamera Nikon D3100 inkl. Zubehör  In gutem Zustand mit Zubehör wie auf dem Foto zu sehen.Der Verkauf erfolgt unter Ausschluss jeglicher Sachmangelhaftung.,spigelreflexkamera nikon d3100 inkl zubehör gut zustand zubehör foto sehen verkauf erfolgen ausschluss jeglicher sachmangelhaftung
Nikon D70s mit 2 Objektiven (18 - 55 + 70 - 300 mm) und Zubebehör,110,/s-anzeige/nikon-d70s-mit-2-objektiven-18-55-70-300-mm-und-zubebehoer/2939174495-245-3018,"Nikon D70s mit 2 Objektiven (18 - 55 + 70 - 300 mm) und Zubebehör  Verkaufe meine gebrauchte Nikon D70s mit folgendem Zubehör: Objektiv Nikon, 18 55 mm Objektiv Sigma, 70 300 mm Speicherkarte Dokumentation Zwei Akkus (1 x original Nikon) und Ladegerät Zusätzlich ein Blitz Metz (Funktion unbekannt)Alles in einwandfreiem Zustand.Versand oder Abholung möglich.Zahlung via PayPal, ""Direkt kaufen"" oder Bar bei Abholung.Bei Fragen gerne melden.",nikon d70s 2 objektive 18 55 + 70 300 mm zubebehör verkaufe gebrauchen nikon d70s folgend zubehör objektiv nikon 18 55 mm objektiv sigma 70 300 mm speicherkart dokumentation akkus 1 x original nikon ladegerät zusätzlich blitz metz funktion unbekannt einwandfrei zustand versand abholung zahlung via paypal direkt kaufen bar abholung frage gerne melden
Nikon D3100,119,/s-anzeige/nikon-d3100/2939299097-245-20668,"Nikon D3100  Bei Fragen gerne melden (:Kamera inklusive Zubehör, d.h. Objektiv und Tragetasche perfektes Weihnachtsgeschenk",nikon d3100 frage gerne melden kamera inklusive zubehör d h objektiv tragetasche perfekt weihnachtsgeschenk
Nikon D 80 Digitale Spiegelreflexkamera,120,/s-anzeige/nikon-d-80-digitale-spiegelreflexkamera/2905603957-245-5696,Nikon D 80 Digitale Spiegelreflexkamera  Digitale Spiegelreflexkamera Nikon D 80 mit Objektiv. Privat Verkauft unter Ausschluss jeglicher Gewährleistung.,nikon d 80 digital spiegelreflexkamera digital spiegelreflexkamera nikon d 80 objektiv privat verkaufen ausschluss jeglicher gewährleistung
Nikon D200 Body * 4 Akkus * OVP * Buch & Anleitung,120,/s-anzeige/nikon-d200-body-4-akkus-ovp-buch-anleitung/2939218131-245-2937,"Nikon D200 Body * 4 Akkus * OVP * Buch & Anleitung  Komplett mit allen Kappen und in einem sehr guten Zustand.Gebaut für die Ewigkeit und eine tolle Ergonomie.Mit dabei im Lieferumfang:Kamerabody Nikon D200 2 Original Akkus 2 Zubehör Akkus 3 Sandisk CF Speicherkarten (2x16 GB und 1x4 GB) Nikon Tragegurt Ladegerät inkl. Kabel Originalverpackung Bedienungsanleitung, Software und Papiere Buch zur Kamera Ansehen und abholen ist nach Absprache in Rotenburg (Wümme) natürlich gern möglich. Versand gegen Übernahme der Kosten ebenfalls.Ansonsten handelt es sich natürlich um ein Privatangebot, daher ohne Sachmangelhaftung und/oder Garantie. Fragen beantworte ich nach meinen Möglichkeiten aber gern und die Bilder kann ich auf Wunsch auch in Originalauflösung schicken.",nikon d200 body 4 akkus ovp buch anleitung komplett kappe gut zustand gebaut ewigkeit toll ergonomie lieferumfang kamerabody nikon d200 2 original akkus 2 zubehör akkus 3 sandisk cf speicherkart 2x16 gb 1x4 gb nikon tragegurt ladegerät inkl kabel originalverpackung bedienungsanleitung software papier buch kamera ansehen abhol absprache rotenburg wümme versand übernahme kosten ebenfalls ansonsten handeln privatangebot sachmangelhaftung garantie frage beantworten möglichkeit bild wunsch originalauflösung schicken
Nikon D3200 Kamera wie neu,120,/s-anzeige/nikon-d3200-kamera-wie-neu/2939055781-245-3534,"Nikon D3200 Kamera wie neu  Nikon D3200 Kamera wie neu Mit Ladegerät und Akku Angebot von Privat keine Rückgabe, keine Gewährleistung, keine Garantie, kein Tausch. Versand oder Abholung am Olivaerplatz, 10707 Berlin. Paypal und Banküberweisung vorhanden.",nikon d3200 kamera neu nikon d3200 kamera neu ladegerät akku angebot privat rückgabe gewährleistung garantie tausch versand abholung olivaerplatz 10707 berlin paypal banküberweisung vorhanden
Nikon D200 Spiegelreflexkamera mit Nikon AF 50 mm 1:1.8 D,125,/s-anzeige/nikon-d200-spiegelreflexkamera-mit-nikon-af-50-mm-1-1-8-d/2939409494-245-1418,"Nikon D200 Spiegelreflexkamera mit Nikon AF 50 mm 1:1.8 D  VerkaufeNikon D 200 mit Tragegurt, 2 Akkus und Ladegerät. Nikon Objektiv AF 50 mm, 1:1,8 D und Gegenlichtblende.Die Kamera und Akkus befinden sich in einem guten Zustand dem Alter entsprechend.Das Objektiv ist neuwertig ohne Gebrauchsspuren.Versand oder Abholung möglich.Die Ware wird unter Ausschluss jeglicher Gewährleistung verkauft. Keine Rücknahme.",nikon d200 spiegelreflexkamera nikon af 50 mm 1:1.8 d verkaufenikon d 200 tragegurt 2 akkus ladegerät nikon objektiv af 50 mm 1:1.8 d gegenlichtblend kamera akkus befinden gut zustand alter entsprechend objektiv neuwertig gebrauchsspurum versand abholung ware ausschluss jeglicher gewährleistung verkaufen rücknahme
Nikon AF Nikkor 60mm 1:2.8D  guter Zustand,149,/s-anzeige/nikon-af-nikkor-60mm-1-2-8d-guter-zustand/2881788222-245-4910,"Nikon AF Nikkor 60mm 1:2.8D  guter Zustand  Nikon AF Nikkor 60mm 1:2,8D guter Zustand Funktioniert Einwandfrei Linse sauber kein Kratzer.Diese Ware unterliegt der Differenzbesteuerung,Daher wird die im Kaufpreis enthaltene Mehrwertsteuer in der Rechnung nicht gesondert ausgewiesen.Das Impressum einschließlich Link zur OS Plattform sowie das Widerrufsrecht,die AGB und die Datenschutzerklärung finden Sie unter der Schaltfläche,,Rechtliche Angaben. Akzeptierte Zahlungsmöglichkeiten Vorkasse per Überweisung kein PaypalHinweise zur Batterieentsorgung Im Zusammenhang mit dem Vertrieb von Batterien oder mit der Lieferung von Geräten, die Batterien enthalten, sind wir verpflichtet, Sie auf folgendes hinzuweisen: Sie sind zur Rückgabe gebrauchter Batterien als Endnutzer gesetzlich verpflichtet. Sie können Altbatterien, die wir als Neubatterien im Sortiment führen oder geführt haben, unentgeltlich an unserem Versandlager (Versandadresse) zurückgeben. Die auf den Batterien abgebildeten Symbole haben folgende Bedeutung: Das Symbol der durchgekreuzten Mülltonne bedeutet, dass die Batterie nicht in den Hausmüll gegeben werden darf. Pb = Batterie enthält mehr als 0,004 Masseprozent Blei Cd = Batterie enthält mehr als 0,002 Masseprozent Cadmium Hg = Batterie enthält mehr als 0,0005 Masseprozent Quecksilber.",nikon af nikkor 60 mm 1:2.8d zustand nikon af nikkor 60 mm 1:2.8d zustand funktioniert einwandfrei linse sauber kratzer ware unterliegen differenzbesteuerung kaufpreis enthalten mehrwertsteuer rechnung gesondern ausweisen impressum einschließlich link os plattform widerrufsrecht agb datenschutzerklärung finden schaltfläche rechtlich angabe akzeptierter zahlungsmöglichkeit vorkas per überweisung paypalhinweise batterieentsorgung zusammenhang vertrieb batterien lieferung gerät batterie enthalten verpflichten folgend hinzuweis rückgabe gebraucht batterie endnutzer gesetzlich verpflichten altbatterie neubatterien sortiment fahren führen unentgeltlich unser versandlager versandadres zurückgeben batterie abgebildet symbol folgend bedeutung symbol durchgekreuzt mülltonne bedeuten batterie hausmüll geben pb = batterie enthalten 0.004 masseprozent blei cd = batterie enthalten 0.002 masseprozent cadmium hg = batterie enthalten 0.0005 masseprozent quecksilber
Nikon D3100 Kamera & 18-55mm Objektiv Kit wie neu,150,/s-anzeige/nikon-d3100-kamera-18-55mm-objektiv-kit-wie-neu/2939385841-245-5591,"Nikon D3100 Kamera & 18-55mm Objektiv Kit wie neu  Verkaufe das Nikon Kit. Spiegelkamera mit Objektiv. Perfektes Geschenk für Anfänger und könnte ein neues Hobby werden. Kamera D3100. Objektiv AF S DX Nikkor 18 55 f/3.5 5.6G VR Super Zustand. Sehr vorsichtig benutzt. Nur 7093 Auslösungen (Herstellerempfehlung für Lebensdauer über 100.000, also 7% Ausnutzung). Akku bei Nichtgebrauch vorsichtshalber aufgeladen. Alles dabei, siehe Fotos. OVP mit allen Unterlagen! Die Kamera sowie die Objektive sind 100% funktionsfähig.+ Zusätzlich Mini SD Karte 16 GB mit Adapter. Sofort einsatzbereites Gerät.+ Plus robuste Tasche, sicher unterwegs.Nichtraucherhaushalt, Tierfreierhaushalt Verkauf von privat: keine Rücknahme, Gewährleistung etc.Abholung Unterhaching 82008 oder München Ost Privatverkauf. Keine Garantie, keine Rücknahme.",nikon d3100 kamera 18 55 mm objektiv kit neu verkaufe nikon kit spiegelkamera objektiv perfektes geschenk anfänger neu hobby kamera d3100 objektiv af s dx nikkor 18 55 f 3.5 5.6 g vr super zustand vorsichtig benutzen 7093 auslösung herstellerempfehlung lebensdauer 100.000 7 ausnutzung akku nichtgebrauch vorsichtshalber aufgeladen sehen foto ovp unterlage kamera objektiven 100 funktionsfähig + zusätzlich mini sd karte 16 gb adapter sofort einsatzbereit gerät + plus robust tasche sicher unterwegs nichtraucherhaushalt tierfreierhaushalt verkauf privat rücknahme gewährleistung etc abholung unterhaching 82008 münchen ost privatverkauf garantie rücknahme
Nikon D3000 Kamera,150,/s-anzeige/nikon-d3000-kamera/2818723932-245-1939,"Nikon D3000 Kamera  Guten Tag,Biete hier eine Nikon D3000 an mit dem Standart Objekt 18mm 55mm und einmal ein Telezoomobjektiv von 55mm 200mm. Tasche ist auch dabei, also die Standart Tasche von Nikon.Bei Fragen gerne melden.Da es sich um ein Privatverkauf handelt gibt es keine Gewährleistung sowie vom umtausch ausgeschlossen.",nikon d3000 kamera gute biete nikon d3000 standart objekt 18 mm 55 mm telezoomobjektiv 55 mm 200 mm tasche standart tasche nikon frage gerne melden privatverkauf handeln gewährleistung umtausch ausschließen
Spiegelreflexkamera NIKON D5100,150,/s-anzeige/spiegelreflexkamera-nikon-d5100/2939487746-245-4819,"Spiegelreflexkamera NIKON D5100  Ich biete eine Spiegelreflexkamera Nikon D5100 mit Zubehör an.Die Kamera ist funktionstüchtig und in einem sehr guten Zustand, wurde nur selten benutzt.Das Set besteht aus: Body Nikon D5100 Objektiv Nikon AF S DX NIKKOR 18 105mm f/3,5 5,6G ED VR Sonnenblende Nikon HB 32 1x Akku Ladegerät vers. Verbindungskabel Handbuch OriginalkartonWir sind ein tierfreier Nichtraucherhaushalt.Privatverkauf, Rückgabe, Gewährleistung/Sachmängelhaftung sind ausgeschlossen.",spiegelreflexkamera nikon d5100 biet spiegelreflexkamera nikon d5100 zubehör kamera funktionstüchtig gut zustand selten benutzen set bestehen body nikon d5100 objektiv nikon af s dx nikkor 18 105 mm f 3.5 5.6 g ed vr sonnenblende nikon hb 32 1x akku ladegerät vers verbindungskabel handbuch originalkartonwir tierfreier nichtraucherhaushalt privatverkauf rückgabe gewährleistung sachmängelhaftung ausschließen
Nikon D5200 Spiegelreflexkamera,150,/s-anzeige/nikon-d5200-spiegelreflexkamera/2939113871-245-6819,"Nikon D5200 Spiegelreflexkamera  Verkauft wird eine Nikon D5200 mit dem originalen Objektivkit AF S DX Nikkor ED 18 55mm 1:3,5 5,6G. Die Kamera wurde nur selten für Fotos genutzt, da das Handy dann doch bequemer war.Zusätzlich zur Kamera mit Objektiv . Selbstverständlich ist das Ladegerät und ein Akku mit dabei.Versand möglich kann gerne vor Ort getestet werden oder ich versende sie.Die KameraSuper Zustand siehe Fotos.Bilder sind Bestandteil der Artikel Beschreibung.Privatverkauf keine Rücknahme und keine Garantie.",nikon d5200 spiegelreflexkamera verkauft nikon d5200 original objektivkit af s dx nikkor ed 18 55 mm 1:3.5 5.6g kamera selten foto nutzen handy bequem zusätzlich kamera objektiv selbstverständlich ladegerät akku versand gerne ort testen versend kamerasuper zustand sehen foto bild bestandteil artikel beschreibung privatverkauf rücknahme garantie
Nikon D5200 Body -defekt- inkl Objektiv,150,/s-anzeige/nikon-d5200-body-defekt-inkl-objektiv/2939043089-245-1676,"Nikon D5200 Body -defekt- inkl Objektiv  verkaufe eine gebrauchte Nikon D5200 Body inkl Objektiv Nikkor 18 105 mm 1:3,5 5,6G, an der Camera ist der Auslöser defekt Kostenvoranschlag einer Nikon Werkstatt aus dem Jahr 2020 liegen die Reparaturkosten bei 210€, Reparatur haben wir aber nicht ausgeführt, Objektiv hat bis jetzt immer ohne Probleme funktioniert , wurde aber aufgrund der defekten Camera seit Jahren nicht genutzt, inkl. Tasche, Tragegurt, Zwei Akkus (1x Nikon und 1xAnsmann) inkl. 1 Ladegerät, Sonnenblende, Anleitung, Gebrauchsspuren und Kratzer, Privatverkauf, keine Rücknahme, keine Garantie oder Gewährleistung, Ausschluss jeglicher Sachmängelhaftung",nikon d5200 body defekt inkl objektiv verkaufen gebrauchen nikon d5200 body inkl objektiv nikkor 18 105 mm 1:3.5 5.6 g camera auslöser defekt kostenvoranschlag nikon werkstatt 2020 liegen reparaturkost 210 € reparatur ausführen objektiv problem funktionieren aufgrund defekt camera nutzen inkl tasche tragegurt akkus 1x nikon 1xansmann inkl 1 ladegerät sonnenblende anleitung gebrauchsspuren kratzer privatverkauf rücknahme garantie gewährleistung ausschluss jeglicher sachmängelhaftung
Nikon SLR D5100,160,/s-anzeige/nikon-slr-d5100/2939082846-245-7612,"Nikon SLR D5100  Hallo zusammen,verkaufe meine sehr gut erhaltene Nikon Kamera Hat keine Gebrauchsspuren und ist wie neu. Wird auch in der Orginalverpackung verkauft.Versicherter Versand oder Abholung.",nikon slr d5100 hallo verkaufen erhalten nikon kamera gebrauchsspurum neu orginalverpackung verkaufen versicherter versand abholung
Nikon D7000. 2 Akkus. Batteriegriff,190,/s-anzeige/nikon-d7000-2-akkus-batteriegriff/2939364719-245-19902,"Nikon D7000. 2 Akkus. Batteriegriff  Die Nikon ist schon etwas älter, wurde aber immer mit Vorsicht behandelt und ausschließlich im Kamerarucksack transportiert und gelagert. Vor ca 4 Jahren habe ich eine rundum Reinigung im Fachgeschäft machen lassen. In den letzten Jahren wurde sie ca 3 4 mal im Jahr benutzt.Zur Kamera gibt's einen Batteriegriff und 2 Akkus. Am Batteriegriff hat sich ein Stück Gummi gelöst (siehe Foto), ist dadurch aber nicht beeinträchtigt.Nikon D7000 Body ca. 64.000 Auslösungen 2 Akkus (1 Original, 1 nicht original) Ladegerät (nicht original) BatteriegriffSchreibt mir bei Fragen gern eine Nachricht :)(unhöfliche und ""was ist letzte Preis"" Anfragen werden nicht beantwortet)",nikon d7000 2 akkus batteriegriff nikon ält vorsicht behandeln ausschließlich kamerarucksack transportieren lagern ca 4 rundum reinigung fachgeschäft lassen letzter ca 3 4 mal benutzen kamera gibt's batteriegriff 2 akkus batteriegriff stück gummi lösen sehen foto beeinträchtigen nikon d7000 body ca 64.000 auslösung 2 akkus 1 original 1 original ladegerät original batteriegriffschreibt frage nachricht unhöflich letzter preis anfrage beantworten
Nikon D3100,190,/s-anzeige/nikon-d3100/2939450533-245-2603,"Nikon D3100  Wir verkaufen unsere Nikon D3100. Mit dazu gibt es 1 Transporttasche 3 Batterien 2 Batterienlader 1 Kleine Tasche für 1 Objektiv 1 weiteres Objektiv.Wir haben sie gerne genutzt, aber sie ist in einem sehr guten Zustand. Keine Gebrauchsspuren vorhanden. Kann gerne in Georgsmarienhütte angeschaut oder gegen Kostenübernahme verschickt werden. Keine Garantie oder Gewährleistung.",nikon d3100 verkaufen nikon d3100 1 transporttasch 3 batterie 2 batterienlader 1 tasche 1 objektiv 1 objektiv gerne nutzen gut zustand gebrauchsspurum vorhanden gerne georgsmarienhütte anschauen kostenübernahme verschicken garantie gewährleistung
Spiegelreflexkamera Nikon D3300 Shutter Count 27000,190,/s-anzeige/spiegelreflexkamera-nikon-d3300-shutter-count-27000/2939338583-245-2013,Spiegelreflexkamera Nikon D3300 Shutter Count 27000  Verkaufe diese Nikon D3300 mit Objektiv.Es ist in einem guten Zustand und wird mit einem Objektiv und zwei weiteren Akkus verkauft. Shutter Count: knapp 27000 Barzahlung bei Abholung. Versand mit Banküberweisung/Paypal möglich.,spiegelreflexkamera nikon d3300 shutter count 27000 verkaufe nikon d3300 objektiv gut zustand objektiv akkus verkaufen shutter count knapp 27000 barzahlung abholung versand banküberweisung paypal
Spiegelreflexkamera Nikon D3200 + Tamron Objektiv AF 70-300,195,/s-anzeige/spiegelreflexkamera-nikon-d3200-tamron-objektiv-af-70-300/2939206083-245-7599,"Spiegelreflexkamera Nikon D3200 + Tamron Objektiv AF 70-300  Spiegelreflexkamera Nikon D3200 + Tamron Objektiv AF 70 300Wenig genutzt. Schutzfolie auf Display noch vorhanden.Versand möglich, DHL versichert 7€",spiegelreflexkamera nikon d3200 + tamron objektiv af 70 300 spiegelreflexkamera nikon d3200 + tamron objektiv af 70 300wenig nutzen schutzfolie display vorhanden versand dhl versichern 7 €
Nikon D300 mit MB-D10,200,/s-anzeige/nikon-d300-mit-mb-d10/2939492874-245-8679,"Nikon D300 mit MB-D10  Nikon D300 mit Multipower battery pack, 3 Batterien und 2 Compact Flash Karten.",nikon d300 mb d10 nikon d300 multipower battery pack 3 batterie 2 compact flash karte
NIKON D3200 kit 18-55 VR,200,/s-anzeige/nikon-d3200-kit-18-55-vr/2939164124-245-6838,"NIKON D3200 kit 18-55 VR  NIKON D3200 kit 18 55 VRIn excellent condition. Without defects and scratches, Used little and carefully. Good for beginner photographers.As a gift memory card for 8 GB.",nikon d3200 kit 18 55 vr nikon d3200 kit 18 55 vrin excellent condition without defects and scratch used little carefully good for beginner photographer as gift memory card for 8 gb
